id,nombre,CPU(%),MEMORIA(KB),TIEMPO(S),SE,PSNR,VENTANA
1,22,inf,154792,14.7,7.49904,36.3554,3
1,23,-nan,187524,1.057,31.7827,33.1089,3
1,24,-nan,245340,1.458,10.1633,38.0604,3
1,25,inf,268044,1.412,3.33338,37.9384,3
1,26,25,198112,9.872,4.47869,38.5939,3
1,27,-nan,198112,0.915,41.6961,29.863,3
1,28,inf,278364,2.58,2.11521,40.3833,3
1,29,58.3333,272156,63.734,0.126464,48.9803,3
1,30,-nan,239952,0.965,20.9358,30.8191,3
1,31,-nan,239952,0.901,21.9462,33.6301,3
1,32,-nan,239952,1.483,13.0866,35.3174,3
1,33,-nan,239952,0.712,15.9149,32.1723,3
1,34,-nan,239952,1.113,34.3292,30.1265,3
1,35,-nan,239952,0.74,10.6943,32.9358,3
1,36,25,239952,8.497,1.35557,43.2877,3
1,37,-nan,239952,0.451,22.997,31.6323,3
1,38,-nan,239952,0.483,28.2998,33.3009,3
1,39,-nan,239952,8.2,10.0546,36.7455,3
1,40,-nan,239952,0.63,14.0635,31.9828,3
1,41,-nan,239952,1.202,23.1781,30.9582,3
1,42,0,239952,1.477,26.3761,31.1782,3
1,43,-nan,239952,0.728,27.2353,30.0508,3
1,44,50,239952,16.982,8.2289,37.4142,3
1,45,-nan,239952,0.628,11.6679,32.3758,3
1,46,25,239952,12.328,1.59259,39.4899,3
1,47,-nan,239952,0.804,16.0075,35.6689,3
1,48,-nan,239952,0.53,17.143,31.9029,3
1,49,25,239952,12.054,1.32153,41.896,3
1,50,62.5,251828,50.605,0.218679,51.4627,3
1,51,-nan,251828,0.989,13.0657,32.066,3
1,52,inf,251828,12.375,4.43645,37.5028,3
1,53,-nan,257900,2.944,1.9265,40.259,3
1,1,-nan,91248,1.137,29.5146,29.7018,3
1,2,-nan,94352,0.532,2245.42,7.07469,3
1,3,41.6667,189688,50.246,0.835794,48.9098,3
1,4,0,147316,7.16,47.3245,30.5214,3
1,5,-nan,147316,1.268,35.7253,31.3187,3
1,6,inf,147316,0.539,30.5994,29.7518,3
1,7,58.3333,246264,73.472,0.129903,53.3181,3
1,8,-nan,180016,0.529,9.65481,32.16,3
1,9,0,180016,2.308,49.9429,30.5832,3
1,10,50,180016,12.538,8.49145,36.0536,3
1,11,-nan,180016,0.63,38.3475,28.0806,3
1,12,inf,180016,0.704,25.4568,30.999,3
1,13,-nan,180016,0.762,20.8583,31.4162,3
1,14,inf,245748,1.926,7.27385,33.9245,3
1,15,-nan,276584,1.115,4.10278,35.9453,3
1,16,0,241152,0.553,18.8045,32.6008,3
1,17,inf,241152,0.384,27.1717,30.6672,3
1,18,-nan,241152,0.452,21.1354,28.7573,3
1,19,inf,241152,9.048,24.6114,33.9777,3
