id,nombre,CPU(%),MEMORIA(KB),TIEMPO(S)
1,CREDENCIALES/28.png,27.2222,278364,1954.79
1,CREDENCIALES/29.png,29.321,272156,1888.9
1,CREDENCIALES/30.png,45.4545,239952,197.007
1,CREDENCIALES/31.png,55,239952,208.707
1,CREDENCIALES/32.png,45,239952,180.957
1,CREDENCIALES/33.png,46.875,239952,149.895
1,CREDENCIALES/34.png,41.6667,239952,202.568
1,CREDENCIALES/35.png,47.7273,239952,207.411
1,CREDENCIALES/36.png,50,239952,118.145
1,CREDENCIALES/37.png,50,239952,131.205
1,CREDENCIALES/38.png,50,239952,192.553
1,CREDENCIALES/39.png,53.5714,239952,153.078
1,CREDENCIALES/40.png,45.8333,239952,103.669
1,CREDENCIALES/41.png,45.4545,239952,204.108
1,CREDENCIALES/42.png,50,239952,218.104
1,CREDENCIALES/43.png,50,239952,219.22
1,CREDENCIALES/44.png,50,239952,161.695
1,CREDENCIALES/45.png,50,239952,139.161
1,CREDENCIALES/46.png,37.5,239952,119.955
1,CREDENCIALES/47.png,37.931,239952,435.421
1,CREDENCIALES/48.png,47.2222,239952,169.283
1,CREDENCIALES/49.png,50,239952,269.668
1,CREDENCIALES/50.png,27.7778,251828,1292.04
1,CREDENCIALES/51.png,45.8333,251828,216.703
1,CREDENCIALES/52.png,50,251828,188.091
1,CREDENCIALES/53.png,28.125,257900,1890.25
1,CREDENCIALES/1.png,50,91248,179.769
1,CREDENCIALES/2.png,50,94352,152.352
1,CREDENCIALES/3.png,29.2683,189688,958.791
1,CREDENCIALES/4.png,50,147316,157.776
1,CREDENCIALES/5.png,45.4545,147316,194.127
1,CREDENCIALES/6.png,42.8571,147316,128.307
1,CREDENCIALES/7.png,28.9216,246264,1772.59
1,CREDENCIALES/8.png,47.9167,180016,223.049
1,CREDENCIALES/9.png,46.875,180016,293.983
1,CREDENCIALES/10.png,46.875,180016,157.143
1,CREDENCIALES/11.png,43.1818,180016,194.192
1,CREDENCIALES/12.png,42.8571,180016,238.142
1,CREDENCIALES/13.png,48.2143,180016,269.811
1,CREDENCIALES/14.png,30.0633,245748,1903.66
1,CREDENCIALES/15.png,28.7975,276584,903.036
1,CREDENCIALES/16.png,50,241152,93.182
1,CREDENCIALES/17.png,45.8333,241152,115.881
1,CREDENCIALES/18.png,45,241152,86.598
1,CREDENCIALES/19.png,50,241152,141.645
1,CREDENCIALES/20.png,28.8961,241152,884.287
1,CREDENCIALES/21.png,41.6667,241152,96.719
1,CREDENCIALES/22.png,47.2222,241152,165.369
1,CREDENCIALES/23.png,33.8235,241152,689.371
1,CREDENCIALES/24.png,29.4944,241152,1051.08
1,CREDENCIALES/25.png,28.6325,291836,1329.75
